company,title,location,javascript,html,css,python,sql,java,c#,bash,c++,php,kotlin,rust,ruby,dart,swift,golang
Cook Systems,Software Development Engineer (100% remote),Remote,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Pok�mon Company International,"Software Development Engineer in Test (SDET) [Multiple Openings: Level 2, 3 & Senior] (Hybrid)",WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta,Android Software Engineer,Remote,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
BNL Consulting,"Sr. Angular Developer (Remote, 3-month Contract)",Remote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta,Software Engineer - Automation,CA,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
Oculus,RL Research Software Engineer - Full Stack,WA,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Capital One,"Software Engineer, Back End, Cloud Productivity (Remote-Eligible)",NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Software Engineer, Full Stack (Remote Eligible)",DE,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Capital One,"Manager, Software Engineer, Back End (Remote Eligible)",DE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,"Software Engineer 1 (Full Stack) - Product Technology - Remote, Seattle, SF or Austin",CA,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
Capital One,Lead Back End Software Engineer (Remote-Eligible),NY,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
,"Senior Software Engineer, Back End (Remote-Eligible)",DE,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Indeed,Software Engineer II,WA,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Indeed,Software Engineer I - Marketplace - Enterprise Team,NY,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Indeed,Backend Software Engineer - Resume Search - Enterprise Team,WA,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
